flame_id,reindexed_id,x,y,credibility
1,1,970.964,751.595,0.343531
2,1,968.257,752.561,0.35158
3,1,969.82,756.633,0.291518
4,1,968.825,755.691,0.202724
5,1,973.442,754.178,0.254931
6,1,0,0,0
7,1,976.712,753.222,0.432748
8,1,969.361,772.057,0.153093
9,1,974.822,752.729,0.244308
10,1,973.969,761.218,0.219851
11,1,975.719,754.29,0.337261
12,1,973.324,761.491,0.203772
13,1,979.526,751.568,0.344654
14,1,1014.73,752.568,0.0265756
15,1,0,0,0
16,1,973.618,757.808,0.264146
17,1,0,0,0
18,1,983.233,753.039,0.307818
19,1,0,0,0
20,1,981.621,771.579,0.162096
21,1,0,0,0
22,1,981.288,789.455,0.0655375
23,1,0,0,0
24,1,991.885,795.208,0.059754
25,1,0,0,0
26,1,0,0,0
27,1,0,0,0
28,1,0,0,0
29,1,0,0,0
30,1,0,0,0
31,1,989.441,756.488,0.183052
32,1,987.033,762.667,0.0758819
33,1,0,0,0
34,1,988.402,760.335,0.154054
35,1,0,0,0
36,1,0,0,0
37,1,988.704,758.242,0.123706
38,1,990.391,753.38,0.156328
39,1,0,0,0
40,1,0,0,0
41,1,991.979,757.433,0.0934858
42,1,995.012,753.353,0.114919
43,1,995.286,754.285,0.137773
44,1,0,0,0
45,1,996.454,765.045,0.0881859
46,1,0,0,0
47,1,992.484,768.839,0.173857
48,1,1004.37,741.094,0.0813439
49,1,1003.81,784.863,0.155534
50,1,1002.82,750.504,0.0892608
51,1,1001.21,754.117,0.106246
52,1,1008.19,744.985,0.114359
53,1,999.737,738.159,0.0383677
54,1,0,0,0
55,1,996.016,756.321,0.0640151
56,1,1010.73,742.054,0.0791643
57,1,997.508,754.211,0.130722
58,1,1006.63,743.654,0.0414257
59,1,1011.29,745.041,0.0888743
60,1,1012.44,743.664,0.0992193
61,1,1009.88,748.385,0.078745
62,1,1006.04,777.895,0.124916
63,1,1014.56,746.902,0.100952
64,1,1012.68,752.14,0.123868
65,1,1015.41,745.811,0.0785333
66,1,1011.31,775.975,0.0939118
67,1,1019.24,744.139,0.0878763
68,1,0,0,0
69,1,0,0,0
70,1,0,0,0
71,1,1014.14,777.03,0.0695062
72,1,0,0,0
73,1,1023.78,741.486,0.043827
74,1,0,0,0
75,1,0,0,0
76,1,1016.77,745.372,0.0724035
77,1,0,0,0
78,1,1021.17,771.032,0.11948
79,1,0,0,0
